measure,org_type,org_id,org_name,date,numerator,denominator,calc_value,percentile
glutenfree,ccg,06L,NHS IPSWICH AND EAST SUFFOLK,2021-04-01,1918.88796,406.94300000000004,4.715372816340372,42.45283018867924
glutenfree,ccg,71E,NHS LINCOLNSHIRE,2021-04-01,19296.69769,798.602,24.16309712472546,95.28301886792453
glutenfree,ccg,11J,NHS DORSET,2021-04-01,18009.091130000004,811.4840000000003,22.192786462826128,86.79245283018868
glutenfree,ccg,16C,NHS TEES VALLEY,2021-04-01,12990.074869999997,711.2359999999998,18.26408515598198,73.58490566037736
glutenfree,ccg,01F,NHS HALTON,2021-04-01,2665.4534,134.14000000000001,19.870682868644696,83.01886792452831
glutenfree,ccg,01E,NHS GREATER PRESTON,2021-05-01,0.0,217.20900000000003,0.0,0.0
glutenfree,ccg,03F,NHS HULL,2021-05-01,4985.58416,303.60099999999994,16.421501114950217,73.58490566037736
glutenfree,ccg,00T,NHS BOLTON,2021-05-01,5699.625789999999,317.3460000000001,17.960288738474716,83.01886792452831
glutenfree,ccg,97R,NHS EAST SUSSEX,2021-05-01,7075.607840000001,563.1909999999997,12.563424912685047,60.37735849056604
glutenfree,ccg,10R,NHS PORTSMOUTH,2021-05-01,2385.62012,230.209,10.362844719363709,51.886792452830186
